check,source_run,game_id,player_index
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R2/google-gemini-3-flash-preview/raw,ai_race_risk_60__google-gemini-3-flash-preview__en__persona_risk_3_2__rep0009,0
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R2/google-gemini-3-flash-preview/raw,ai_race_risk_60__google-gemini-3-flash-preview__en__persona_risk_3_2__rep0009,1
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R2/google-gemini-3-flash-preview/raw,ai_race_risk_90__google-gemini-3-flash-preview__en__persona_risk_3_2__rep0009,0
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R2/google-gemini-3-flash-preview/raw,ai_race_risk_90__google-gemini-3-flash-preview__en__persona_risk_3_2__rep0009,1
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R2/google-gemini-3-flash-preview/raw,ai_race_risk_10__google-gemini-3-flash-preview__en__persona_risk_3_2__rep0007,0
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R2/google-gemini-3-flash-preview/raw,ai_race_risk_10__google-gemini-3-flash-preview__en__persona_risk_3_2__rep0007,1
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R2/google-gemini-3-flash-preview/raw,ai_race_risk_60__google-gemini-3-flash-preview__en__persona_risk_3_2__rep0007,0
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R2/google-gemini-3-flash-preview/raw,ai_race_risk_60__google-gemini-3-flash-preview__en__persona_risk_3_2__rep0007,1
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R2/google-gemini-3-flash-preview/raw,ai_race_risk_90__google-gemini-3-flash-preview__en__persona_risk_3_2__rep0007,0
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R2/google-gemini-3-flash-preview/raw,ai_race_risk_90__google-gemini-3-flash-preview__en__persona_risk_3_2__rep0007,1
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_10__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0005,0
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_10__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0005,1
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_60__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0005,0
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_60__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0005,1
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_90__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0005,0
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_90__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0005,1
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_10__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0003,0
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_10__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0003,1
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_60__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0003,0
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_60__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0003,1
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_90__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0003,0
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_90__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0003,1
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_10__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0009,0
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_10__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0009,1
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_60__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0009,0
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_60__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0009,1
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_90__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0009,0
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_90__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0009,1
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_10__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0007,0
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_10__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0007,1
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_60__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0007,0
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_60__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0007,1
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_90__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0007,0
players_grain,data/experiments/players_2/provider_google/family_gemini/persona_risk_aware/mode_risk_matrix/condition_R3_R3/google-gemini-3-flash-preview/raw,ai_race_risk_90__google-gemini-3-flash-preview__en__persona_risk_3_3__rep0007,1
