model,max_private_risk,persona_condition,prompt_version,protocol_signature,run_phase,run_status,n_rounds,n_races
qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,5.0,2
qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,7.0,1
qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,8.0,1
qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,9.0,2
qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,10.0,1
qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,11.0,1
qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,13.0,1
qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,16.0,1
qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,5.0,2
qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,7.0,1
qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,8.0,1
qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,9.0,2
qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,10.0,1
qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,11.0,1
qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,13.0,1
qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,16.0,1
qwen2.5:7b-instruct-fp16,0.1,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,5.0,2
qwen2.5:7b-instruct-fp16,0.1,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,7.0,1
qwen2.5:7b-instruct-fp16,0.1,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,8.0,1
qwen2.5:7b-instruct-fp16,0.1,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,9.0,2
qwen2.5:7b-instruct-fp16,0.1,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,10.0,1
qwen2.5:7b-instruct-fp16,0.1,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,11.0,1
qwen2.5:7b-instruct-fp16,0.1,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,13.0,1
qwen2.5:7b-instruct-fp16,0.1,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,16.0,1
qwen2.5:7b-instruct-fp16,0.1,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,5.0,2
qwen2.5:7b-instruct-fp16,0.1,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,7.0,1
qwen2.5:7b-instruct-fp16,0.1,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,8.0,1
qwen2.5:7b-instruct-fp16,0.1,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,9.0,2
qwen2.5:7b-instruct-fp16,0.1,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,10.0,1
qwen2.5:7b-instruct-fp16,0.1,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,11.0,1
qwen2.5:7b-instruct-fp16,0.1,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,13.0,1
qwen2.5:7b-instruct-fp16,0.1,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,16.0,1
